Date,LambertX,LambertY,tasminAdjust,tasmaxAdjust,tasAdjust,prtotAdjust,prsnAdjust
20060210,364000,1985000,274.41,278.60,276.43,0.0000000,0.0000000
20060211,364000,1985000,272.09,277.51,274.33,0.0000000,0.0000000
20060212,364000,1985000,270.87,282.38,277.31,0.0000000,0.0000000
20060213,364000,1985000,272.92,284.65,279.85,0.0000000,0.0000000
20060214,364000,1985000,276.12,286.17,280.52,0.0000000,0.0000000
20060215,364000,1985000,275.12,286.60,280.56,0.0000000,0.0000000
20060216,364000,1985000,278.62,285.64,283.05,0.0000216,0.0000000
20060217,364000,1985000,281.37,282.81,282.10,0.0000826,0.0000000
20060218,364000,1985000,278.40,283.46,281.11,0.0000218,0.0000000
20060219,364000,1985000,276.86,288.53,281.98,0.0000000,0.0000000
20060220,364000,1985000,280.08,292.37,285.05,0.0000000,0.0000000
20060221,364000,1985000,284.60,289.16,287.10,0.0000000,0.0000000
20060222,364000,1985000,282.88,292.66,287.43,0.0000000,0.0000000
20060223,364000,1985000,282.04,290.09,285.13,0.0000283,0.0000000
20060224,364000,1985000,280.12,285.85,282.49,0.0000617,0.0000000
20060225,364000,1985000,279.09,280.02,279.51,0.0000678,0.0000000
20060226,364000,1985000,276.68,282.86,279.73,0.0000590,0.0000000
20060227,364000,1985000,275.53,288.20,280.39,0.0000422,0.0000000
20060228,364000,1985000,280.79,287.15,283.50,0.0000430,0.0000000
20060301,364000,1985000,279.23,284.91,282.37,0.0000229,0.0000000
20060302,364000,1985000,279.00,287.91,283.22,0.0000000,0.0000000
20060303,364000,1985000,280.03,292.42,287.28,0.0000000,0.0000000
20060304,364000,1985000,283.37,287.07,285.46,0.0000696,0.0000000
20060305,364000,1985000,279.22,287.06,282.93,0.0000045,0.0000000
20060306,364000,1985000,278.11,288.03,281.99,0.0000175,0.0000000
20060307,364000,1985000,280.82,290.04,285.89,0.0000040,0.0000000
20060308,364000,1985000,281.86,294.04,286.14,0.0000000,0.0000000
20060309,364000,1985000,279.84,286.31,284.15,0.0000228,0.0000000
20060310,364000,1985000,278.98,287.02,282.70,0.0000000,0.0000000
20060311,364000,1985000,278.25,283.31,281.07,0.0000496,0.0000000
20060312,364000,1985000,273.21,278.97,276.01,0.0000000,0.0000000
20060313,364000,1985000,270.77,278.67,274.21,0.0000000,0.0000000
20060314,364000,1985000,270.08,278.63,274.68,0.0000000,0.0000000
20060315,364000,1985000,274.01,285.69,280.40,0.0000825,0.0000000
20060316,364000,1985000,280.58,284.82,282.88,0.0000667,0.0000000
20060317,364000,1985000,279.51,284.84,282.73,0.0000071,0.0000000
20060318,364000,1985000,275.44,284.00,279.78,0.0000000,0.0000000
20060319,364000,1985000,275.63,283.35,278.86,0.0000000,0.0000000
20060320,364000,1985000,276.78,285.33,281.95,0.0000000,0.0000000
20060321,364000,1985000,275.62,284.01,279.44,0.0000000,0.0000000
20060322,364000,1985000,272.54,284.00,279.34,0.0000000,0.0000000
20060323,364000,1985000,274.86,283.99,279.27,0.0002085,0.0000000
20060324,364000,1985000,277.58,281.44,279.71,0.0000736,0.0000000
20060325,364000,1985000,274.78,280.41,278.05,0.0000941,0.0000000
20060326,364000,1985000,273.17,284.01,278.67,0.0000280,0.0000042
20060327,364000,1985000,275.93,289.78,283.50,0.0000000,0.0000000
20060328,364000,1985000,286.42,290.14,288.17,0.0000000,0.0000000
20060329,364000,1985000,286.04,292.52,289.61,0.0000113,0.0000000
20060330,364000,1985000,286.75,300.36,292.95,0.0000000,0.0000000
20060331,364000,1985000,286.12,292.48,289.13,0.0000687,0.0000000
20060401,364000,1985000,280.46,288.52,284.71,0.0000877,0.0000000
20060402,364000,1985000,277.12,287.23,282.32,0.0000000,0.0000000
20060403,364000,1985000,275.78,289.19,283.48,0.0000065,0.0000000
20060404,364000,1985000,281.81,288.15,285.39,0.0000424,0.0000000
20060405,364000,1985000,282.26,286.30,284.51,0.0000479,0.0000000
20060406,364000,1985000,281.20,285.98,283.20,0.0000146,0.0000000
20060407,364000,1985000,278.12,286.37,283.06,0.0000000,0.0000000
20060408,364000,1985000,280.96,286.63,283.88,0.0000000,0.0000000
20060409,364000,1985000,279.23,291.89,285.87,0.0000024,0.0000000
20060410,364000,1985000,283.12,291.80,287.11,0.0000000,0.0000000
20060411,364000,1985000,281.70,287.70,284.77,0.0000638,0.0000000
20060412,364000,1985000,279.22,286.76,284.33,0.0000000,0.0000000
20060413,364000,1985000,278.67,286.82,282.34,0.0000273,0.0000000
20060414,364000,1985000,282.90,285.76,284.16,0.0002631,0.0000000
20060415,364000,1985000,285.42,288.68,287.01,0.0000805,0.0000000
20060416,364000,1985000,280.94,284.69,282.37,0.0000000,0.0000000
20060417,364000,1985000,278.15,285.16,280.90,0.0000540,0.0000000
20060418,364000,1985000,275.67,284.16,280.93,0.0000091,0.0000000
20060419,364000,1985000,277.31,288.75,284.17,0.0000000,0.0000000
20060420,364000,1985000,279.33,287.53,284.14,0.0000000,0.0000000
20060421,364000,1985000,277.83,286.20,281.87,0.0000306,0.0000000
20060422,364000,1985000,277.90,287.86,283.21,0.0000000,0.0000000
20060423,364000,1985000,275.55,290.29,283.86,0.0000000,0.0000000
20060424,364000,1985000,278.30,289.98,284.85,0.0000098,0.0000000
20060425,364000,1985000,280.69,290.74,286.38,0.0000000,0.0000000
20060426,364000,1985000,278.81,297.32,288.81,0.0000000,0.0000000
20060427,364000,1985000,287.15,300.31,294.15,0.0000000,0.0000000
20060428,364000,1985000,289.09,298.66,295.38,0.0000000,0.0000000
20060429,364000,1985000,286.34,299.10,291.76,0.0001653,0.0000000
20060430,364000,1985000,285.61,285.76,285.68,0.0004853,0.0000000
20060501,364000,1985000,284.52,289.64,287.57,0.0001196,0.0000000
20060502,364000,1985000,286.15,293.35,289.89,0.0000000,0.0000000
20060503,364000,1985000,286.91,296.35,291.62,0.0000000,0.0000000
20060504,364000,1985000,285.61,299.99,293.81,0.0000000,0.0000000
20060505,364000,1985000,290.81,304.62,297.52,0.0000000,0.0000000
20060506,364000,1985000,291.58,301.21,294.97,0.0000000,0.0000000
20060507,364000,1985000,290.60,292.52,291.41,0.0000133,0.0000000
20060508,364000,1985000,288.71,300.27,294.84,0.0001392,0.0000000
20060509,364000,1985000,286.21,293.03,290.98,0.0000000,0.0000000
20060510,364000,1985000,285.16,301.77,293.82,0.0000000,0.0000000
20060511,364000,1985000,287.28,297.71,293.50,0.0000000,0.0000000
20060512,364000,1985000,286.39,293.51,289.98,0.0000000,0.0000000
20060513,364000,1985000,285.73,300.79,291.33,0.0000000,0.0000000
20060514,364000,1985000,285.32,294.36,290.58,0.0000000,0.0000000
20060515,364000,1985000,284.45,300.18,293.41,0.0000000,0.0000000
20060516,364000,1985000,288.92,295.27,291.89,0.0001727,0.0000000
20060517,364000,1985000,288.56,294.32,292.03,0.0000741,0.0000000
20060518,364000,1985000,285.79,295.11,289.78,0.0000000,0.0000000
20060519,364000,1985000,284.11,297.77,290.36,0.0000000,0.0000000
20060520,364000,1985000,284.53,298.12,293.52,0.0000000,0.0000000
20060521,364000,1985000,288.04,298.14,292.81,0.0000000,0.0000000
20060522,364000,1985000,284.48,293.35,288.67,0.0000000,0.0000000
20060523,364000,1985000,283.03,289.60,285.50,0.0000000,0.0000000
20060524,364000,1985000,280.19,289.87,285.09,0.0000000,0.0000000
20060525,364000,1985000,279.70,288.86,284.27,0.0000277,0.0000000
20060526,364000,1985000,279.86,286.54,283.54,0.0000529,0.0000000
20060527,364000,1985000,279.74,287.28,283.22,0.0000357,0.0000000
20060528,364000,1985000,282.11,289.52,285.26,0.0000697,0.0000000
20060529,364000,1985000,281.46,294.89,287.91,0.0000000,0.0000000
20060530,364000,1985000,282.42,296.58,290.68,0.0000000,0.0000000
20060531,364000,1985000,288.74,297.48,292.89,0.0000000,0.0000000
20060601,364000,1985000,287.03,293.45,290.42,0.0000000,0.0000000
20060602,364000,1985000,286.00,290.45,287.91,0.0000710,0.0000000
20060603,364000,1985000,284.59,293.25,289.97,0.0000000,0.0000000
20060604,364000,1985000,286.43,290.52,288.64,0.0001303,0.0000000
20060605,364000,1985000,288.26,291.31,289.65,0.0001480,0.0000000
20060606,364000,1985000,287.80,292.25,289.38,0.0000386,0.0000000
20060607,364000,1985000,285.12,292.19,288.45,0.0000000,0.0000000
20060608,364000,1985000,285.61,293.98,290.08,0.0000000,0.0000000
20060609,364000,1985000,288.21,294.38,291.20,0.0000000,0.0000000
20060610,364000,1985000,289.23,298.43,293.25,0.0000000,0.0000000
20060611,364000,1985000,287.69,293.70,290.54,0.0000259,0.0000000
20060612,364000,1985000,286.27,290.58,288.22,0.0000304,0.0000000
20060613,364000,1985000,283.00,296.03,289.61,0.0000000,0.0000000
20060614,364000,1985000,287.59,296.56,291.99,0.0000012,0.0000000
20060615,364000,1985000,288.37,294.17,290.64,0.0000000,0.0000000
20060616,364000,1985000,286.55,298.80,292.70,0.0000000,0.0000000
20060617,364000,1985000,290.04,301.92,296.81,0.0001310,0.0000000
20060618,364000,1985000,290.30,295.59,292.89,0.0000067,0.0000000
20060619,364000,1985000,289.83,299.15,295.09,0.0000000,0.0000000
20060620,364000,1985000,288.40,302.72,294.11,0.0000000,0.0000000
20060621,364000,1985000,290.86,301.04,295.74,0.0000000,0.0000000
20060622,364000,1985000,290.99,303.62,296.64,0.0000000,0.0000000
20060623,364000,1985000,292.99,305.96,300.34,0.0000000,0.0000000
20060624,364000,1985000,293.12,300.42,297.23,0.0000000,0.0000000
20060625,364000,1985000,291.77,299.58,295.20,0.0000000,0.0000000
20060626,364000,1985000,289.72,304.04,296.72,0.0000000,0.0000000
20060627,364000,1985000,292.26,305.93,298.90,0.0000000,0.0000000
20060628,364000,1985000,287.58,296.08,290.94,0.0000000,0.0000000
20060629,364000,1985000,286.19,295.27,290.11,0.0000000,0.0000000
20060630,364000,1985000,286.55,290.96,289.58,0.0000031,0.0000000
20060701,364000,1985000,286.12,294.55,290.46,0.0000000,0.0000000
20060702,364000,1985000,286.26,303.11,294.01,0.0000000,0.0000000
20060703,364000,1985000,291.59,301.43,296.11,0.0000000,0.0000000
20060704,364000,1985000,290.20,297.82,294.95,0.0000034,0.0000000
20060705,364000,1985000,290.08,298.32,294.63,0.0000289,0.0000000
20060706,364000,1985000,288.52,302.12,294.05,0.0000000,0.0000000
20060707,364000,1985000,289.53,305.73,296.63,0.0000000,0.0000000
20060708,364000,1985000,292.62,305.56,299.26,0.0000000,0.0000000
20060709,364000,1985000,292.83,306.39,299.92,0.0000000,0.0000000
20060710,364000,1985000,294.30,304.13,298.39,0.0000000,0.0000000
20060711,364000,1985000,291.66,301.29,295.23,0.0000715,0.0000000
20060712,364000,1985000,289.46,297.39,293.96,0.0000286,0.0000000
20060713,364000,1985000,287.26,297.36,292.52,0.0000000,0.0000000
20060714,364000,1985000,288.01,301.00,294.87,0.0000000,0.0000000
20060715,364000,1985000,289.23,303.63,296.61,0.0000000,0.0000000
20060716,364000,1985000,291.12,306.75,297.09,0.0000000,0.0000000
20060717,364000,1985000,294.64,305.20,300.09,0.0000000,0.0000000
20060718,364000,1985000,293.43,302.09,298.02,0.0000000,0.0000000
20060719,364000,1985000,291.14,301.58,296.18,0.0000000,0.0000000
20060720,364000,1985000,287.82,301.68,294.59,0.0000000,0.0000000
20060721,364000,1985000,289.78,295.67,292.29,0.0000157,0.0000000
20060722,364000,1985000,290.16,298.29,293.83,0.0000000,0.0000000
20060723,364000,1985000,291.24,300.23,295.79,0.0000000,0.0000000
20060724,364000,1985000,290.24,302.18,296.70,0.0000000,0.0000000
20060725,364000,1985000,291.91,302.24,296.63,0.0000000,0.0000000
20060726,364000,1985000,292.22,302.88,298.90,0.0000000,0.0000000
20060727,364000,1985000,290.54,303.22,296.49,0.0000000,0.0000000
20060728,364000,1985000,289.57,302.45,296.41,0.0000000,0.0000000
20060729,364000,1985000,290.95,305.42,297.84,0.0000000,0.0000000
20060730,364000,1985000,292.59,301.49,297.25,0.0000000,0.0000000
20060731,364000,1985000,292.83,309.18,301.25,0.0000000,0.0000000
20060801,364000,1985000,291.25,304.89,298.17,0.0000367,0.0000000
20060802,364000,1985000,291.34,300.19,295.89,0.0000000,0.0000000
20060803,364000,1985000,293.12,299.82,295.74,0.0000000,0.0000000
20060804,364000,1985000,291.08,299.19,295.33,0.0000000,0.0000000
20060805,364000,1985000,289.55,301.13,295.02,0.0000000,0.0000000
20060806,364000,1985000,288.09,304.24,296.45,0.0000000,0.0000000
20060807,364000,1985000,289.11,306.16,297.30,0.0000000,0.0000000
20060808,364000,1985000,292.29,308.07,299.61,0.0000000,0.0000000
20060809,364000,1985000,293.71,306.72,299.78,0.0000000,0.0000000
20060810,364000,1985000,293.36,304.03,299.49,0.0000000,0.0000000
20060811,364000,1985000,292.84,302.63,298.58,0.0000000,0.0000000
20060812,364000,1985000,293.26,306.91,299.22,0.0000000,0.0000000
20060813,364000,1985000,292.09,300.25,296.11,0.0000000,0.0000000
20060814,364000,1985000,292.17,300.49,296.57,0.0000000,0.0000000
20060815,364000,1985000,291.54,302.73,295.88,0.0000000,0.0000000
20060816,364000,1985000,291.81,307.32,298.32,0.0000000,0.0000000
20060817,364000,1985000,294.10,306.97,299.90,0.0000000,0.0000000
20060818,364000,1985000,292.88,301.99,297.87,0.0000176,0.0000000
20060819,364000,1985000,291.97,301.65,296.82,0.0000000,0.0000000
20060820,364000,1985000,292.64,295.57,293.82,0.0000000,0.0000000
20060821,364000,1985000,290.60,297.45,292.88,0.0000036,0.0000000
20060822,364000,1985000,288.44,298.04,292.50,0.0000020,0.0000000
20060823,364000,1985000,287.41,301.56,294.74,0.0000000,0.0000000
20060824,364000,1985000,288.74,297.42,293.13,0.0000000,0.0000000
20060825,364000,1985000,288.15,297.52,292.82,0.0000000,0.0000000
20060826,364000,1985000,287.03,302.77,294.05,0.0000000,0.0000000
20060827,364000,1985000,290.20,299.23,294.93,0.0000000,0.0000000
20060828,364000,1985000,289.08,299.42,293.85,0.0000000,0.0000000
20060829,364000,1985000,289.07,298.07,293.38,0.0000000,0.0000000
20060830,364000,1985000,286.89,297.12,291.69,0.0000000,0.0000000
20060831,364000,1985000,288.61,298.51,293.85,0.0000000,0.0000000
20060901,364000,1985000,287.75,301.51,293.76,0.0000000,0.0000000
20060902,364000,1985000,288.90,301.07,293.55,0.0000000,0.0000000
20060903,364000,1985000,287.89,301.91,294.23,0.0000000,0.0000000
20060904,364000,1985000,291.16,301.20,294.79,0.0000012,0.0000000
20060905,364000,1985000,287.89,299.23,294.93,0.0000000,0.0000000
20060906,364000,1985000,287.44,298.92,293.62,0.0000000,0.0000000
20060907,364000,1985000,286.79,301.01,293.32,0.0000000,0.0000000
20060908,364000,1985000,286.93,301.44,293.51,0.0000000,0.0000000
20060909,364000,1985000,285.88,303.20,295.30,0.0000000,0.0000000
20060910,364000,1985000,286.48,302.28,293.96,0.0000000,0.0000000
20060911,364000,1985000,288.11,304.15,294.65,0.0000000,0.0000000
20060912,364000,1985000,288.27,291.73,290.33,0.0001813,0.0000000
20060913,364000,1985000,287.91,297.70,292.58,0.0000086,0.0000000
20060914,364000,1985000,289.97,301.14,294.97,0.0000050,0.0000000
20060915,364000,1985000,290.36,302.55,296.17,0.0000000,0.0000000
20060916,364000,1985000,289.39,302.17,294.65,0.0000000,0.0000000
20060917,364000,1985000,289.48,299.05,294.54,0.0000000,0.0000000
20060918,364000,1985000,289.07,302.29,296.69,0.0000000,0.0000000
20060919,364000,1985000,289.02,295.47,292.17,0.0000079,0.0000000
20060920,364000,1985000,284.58,298.03,291.72,0.0000000,0.0000000
20060921,364000,1985000,286.02,291.65,288.48,0.0000713,0.0000000
20060922,364000,1985000,285.61,294.53,290.81,0.0000000,0.0000000
20060923,364000,1985000,287.13,295.08,290.39,0.0001143,0.0000000
20060924,364000,1985000,285.08,294.22,290.58,0.0000000,0.0000000
20060925,364000,1985000,284.66,295.91,289.76,0.0000000,0.0000000
20060926,364000,1985000,283.99,298.12,290.84,0.0000000,0.0000000
20060927,364000,1985000,285.61,295.52,291.20,0.0000000,0.0000000
20060928,364000,1985000,284.76,295.83,290.31,0.0000000,0.0000000
20060929,364000,1985000,283.08,297.13,290.15,0.0000000,0.0000000
20060930,364000,1985000,281.70,300.96,292.04,0.0000000,0.0000000
20061001,364000,1985000,286.48,302.89,293.87,0.0000000,0.0000000
20061002,364000,1985000,287.32,299.91,294.17,0.0000000,0.0000000
20061003,364000,1985000,288.73,300.90,293.51,0.0000000,0.0000000
20061004,364000,1985000,286.13,299.77,295.58,0.0000000,0.0000000
20061005,364000,1985000,287.81,301.73,293.93,0.0000000,0.0000000
20061006,364000,1985000,289.37,298.91,294.76,0.0000000,0.0000000
20061007,364000,1985000,288.02,295.95,290.60,0.0000344,0.0000000
20061008,364000,1985000,285.47,293.29,288.67,0.0000026,0.0000000
20061009,364000,1985000,284.60,292.41,287.77,0.0001352,0.0000000
20061010,364000,1985000,286.23,291.77,289.48,0.0000629,0.0000000
20061011,364000,1985000,286.13,293.24,290.50,0.0000468,0.0000000
20061012,364000,1985000,287.48,292.53,290.59,0.0000000,0.0000000
20061013,364000,1985000,286.27,292.06,289.29,0.0001176,0.0000000
20061014,364000,1985000,285.89,288.38,287.11,0.0001544,0.0000000
20061015,364000,1985000,284.27,291.84,287.66,0.0001658,0.0000000
20061016,364000,1985000,285.99,296.23,291.40,0.0000318,0.0000000
20061017,364000,1985000,284.68,297.73,292.14,0.0000000,0.0000000
20061018,364000,1985000,287.38,299.06,293.72,0.0000000,0.0000000
20061019,364000,1985000,288.90,294.71,291.98,0.0000825,0.0000000
20061020,364000,1985000,282.47,290.74,286.51,0.0000000,0.0000000
20061021,364000,1985000,280.51,289.11,284.35,0.0000000,0.0000000
20061022,364000,1985000,279.41,293.76,285.99,0.0000000,0.0000000
20061023,364000,1985000,281.16,290.71,286.60,0.0000000,0.0000000
20061024,364000,1985000,284.89,291.34,288.53,0.0001084,0.0000000
20061025,364000,1985000,281.79,289.75,286.00,0.0000129,0.0000000
20061026,364000,1985000,280.33,287.43,283.44,0.0000000,0.0000000
20061027,364000,1985000,285.18,287.55,286.22,0.0004486,0.0000000
20061028,364000,1985000,284.72,289.69,286.93,0.0000661,0.0000000
20061029,364000,1985000,283.91,289.30,286.09,0.0000292,0.0000000
20061030,364000,1985000,280.56,283.85,282.28,0.0000144,0.0000000
20061031,364000,1985000,277.14,287.83,283.58,0.0001250,0.0000000
20061101,364000,1985000,280.45,285.85,283.33,0.0001425,0.0000000
20061102,364000,1985000,282.99,286.87,284.59,0.0000457,0.0000000
20061103,364000,1985000,281.29,287.43,284.17,0.0000000,0.0000000
20061104,364000,1985000,280.74,289.49,284.97,0.0000103,0.0000000
20061105,364000,1985000,282.21,289.80,286.19,0.0000038,0.0000000
20061106,364000,1985000,280.14,289.90,285.19,0.0000000,0.0000000
20061107,364000,1985000,282.92,292.05,287.43,0.0000000,0.0000000
20061108,364000,1985000,282.78,288.92,285.70,0.0000000,0.0000000
20061109,364000,1985000,283.60,288.00,285.83,0.0000242,0.0000000
20061110,364000,1985000,280.85,287.15,284.23,0.0000566,0.0000000
20061111,364000,1985000,278.00,284.10,281.10,0.0000149,0.0000000
20061112,364000,1985000,276.84,283.88,279.70,0.0000000,0.0000000
20061113,364000,1985000,275.42,282.69,278.03,0.0000000,0.0000000
20061114,364000,1985000,275.85,282.73,278.46,0.0000000,0.0000000
20061115,364000,1985000,275.35,285.12,278.84,0.0000000,0.0000000
20061116,364000,1985000,276.38,287.40,280.69,0.0000000,0.0000000
20061117,364000,1985000,276.36,288.53,280.75,0.0000000,0.0000000
20061118,364000,1985000,281.19,288.66,284.25,0.0000014,0.0000000
20061119,364000,1985000,281.94,287.21,284.91,0.0000013,0.0000000
20061120,364000,1985000,284.58,291.01,287.27,0.0000266,0.0000000
20061121,364000,1985000,280.14,284.60,283.51,0.0001307,0.0000000
20061122,364000,1985000,280.01,283.29,281.84,0.0000572,0.0000000
20061123,364000,1985000,278.20,282.22,280.49,0.0000000,0.0000000
20061124,364000,1985000,278.32,284.17,281.67,0.0002628,0.0000000
20061125,364000,1985000,275.88,282.08,279.26,0.0000000,0.0000000
20061126,364000,1985000,274.25,279.18,276.47,0.0000000,0.0000000
20061127,364000,1985000,274.65,283.60,280.46,0.0000218,0.0000000
20061128,364000,1985000,279.81,283.60,281.54,0.0001688,0.0000000
20061129,364000,1985000,280.60,283.38,281.73,0.0001479,0.0000000
20061130,364000,1985000,277.22,282.17,280.69,0.0000268,0.0000000
20061201,364000,1985000,275.94,281.61,278.23,0.0000000,0.0000000
20061202,364000,1985000,274.30,280.85,277.98,0.0000000,0.0000000
20061203,364000,1985000,281.18,282.38,282.02,0.0000017,0.0000000
20061204,364000,1985000,277.49,282.99,279.80,0.0000000,0.0000000
20061205,364000,1985000,277.31,286.98,282.32,0.0000000,0.0000000
20061206,364000,1985000,282.86,286.97,285.03,0.0000166,0.0000000
20061207,364000,1985000,281.16,286.90,283.39,0.0000305,0.0000000
20061208,364000,1985000,279.28,281.44,280.32,0.0000676,0.0000000
20061209,364000,1985000,278.23,278.91,278.46,0.0000264,0.0000000
20061210,364000,1985000,276.72,281.84,278.30,0.0000306,0.0000000
20061211,364000,1985000,275.61,284.92,279.00,0.0001456,0.0000000
20061212,364000,1985000,282.30,287.16,285.08,0.0000069,0.0000000
20061213,364000,1985000,282.80,289.30,286.51,0.0000000,0.0000000
20061214,364000,1985000,282.37,287.73,285.52,0.0000000,0.0000000
20061215,364000,1985000,280.38,286.75,283.09,0.0000000,0.0000000
20061216,364000,1985000,279.19,284.56,281.58,0.0000000,0.0000000
20061217,364000,1985000,278.84,284.80,281.10,0.0000000,0.0000000
20061218,364000,1985000,277.61,285.10,282.11,0.0000000,0.0000000
20061219,364000,1985000,276.29,283.11,279.83,0.0000000,0.0000000
20061220,364000,1985000,275.78,284.92,279.53,0.0000069,0.0000000
20061221,364000,1985000,281.55,287.74,284.16,0.0000000,0.0000000
20061222,364000,1985000,282.30,283.86,283.00,0.0001499,0.0000000
20061223,364000,1985000,281.53,283.51,282.49,0.0000779,0.0000000
20061224,364000,1985000,280.80,283.64,282.19,0.0001540,0.0000000
20061225,364000,1985000,279.04,283.66,280.94,0.0000645,0.0000000
20061226,364000,1985000,272.58,281.12,277.55,0.0000000,0.0000000
20061227,364000,1985000,270.60,276.57,273.20,0.0000000,0.0000000
20061228,364000,1985000,276.66,278.48,277.61,0.0000176,0.0000000
20061229,364000,1985000,274.95,280.36,277.89,0.0000884,0.0000000
20061230,364000,1985000,278.40,281.69,279.40,0.0000598,0.0000000
20061231,364000,1985000,274.90,283.23,278.23,0.0000268,0.0000000
20070101,364000,1985000,277.98,283.86,281.71,0.0000222,0.0000000
20070102,364000,1985000,276.83,280.71,279.53,0.0000982,0.0000000
20070103,364000,1985000,274.76,277.97,275.74,0.0000623,0.0000000
20070104,364000,1985000,274.44,279.39,276.52,0.0002794,0.0000000
20070105,364000,1985000,277.10,283.98,281.17,0.0000110,0.0000000
20070106,364000,1985000,279.75,283.15,281.55,0.0000435,0.0000000
20070107,364000,1985000,277.01,281.30,278.76,0.0000134,0.0000000
20070108,364000,1985000,275.51,279.38,276.94,0.0000468,0.0000000
20070109,364000,1985000,272.55,277.38,275.03,0.0000033,0.0000006
20070110,364000,1985000,268.03,272.76,270.11,0.0000000,0.0000000
20070111,364000,1985000,269.32,275.86,273.47,0.0000000,0.0000000
20070112,364000,1985000,270.49,276.46,274.01,0.0000000,0.0000000
20070113,364000,1985000,273.95,284.76,281.07,0.0000228,0.0000000
20070114,364000,1985000,282.42,283.68,283.04,0.0002091,0.0000000
20070115,364000,1985000,283.54,285.70,284.76,0.0000000,0.0000000
20070116,364000,1985000,279.97,285.48,283.16,0.0000950,0.0000000
20070117,364000,1985000,275.89,277.79,276.67,0.0000281,0.0000000
20070118,364000,1985000,271.90,277.71,275.42,0.0000000,0.0000000
20070119,364000,1985000,275.94,282.23,278.78,0.0000882,0.0000000
20070120,364000,1985000,279.78,281.73,280.89,0.0000390,0.0000000
20070121,364000,1985000,278.02,283.33,281.40,0.0000059,0.0000000
20070122,364000,1985000,276.64,286.26,280.74,0.0000000,0.0000000
20070123,364000,1985000,279.40,280.36,279.78,0.0000072,0.0000000
20070124,364000,1985000,275.78,280.83,279.19,0.0000714,0.0000000
20070125,364000,1985000,274.50,276.78,275.53,0.0000000,0.0000000
20070126,364000,1985000,271.27,279.42,276.07,0.0000000,0.0000000
20070127,364000,1985000,270.93,281.54,276.73,0.0000000,0.0000000
20070128,364000,1985000,275.52,281.25,278.04,0.0000129,0.0000000
20070129,364000,1985000,275.01,281.89,278.40,0.0000000,0.0000000
20070130,364000,1985000,277.64,282.72,279.82,0.0000137,0.0000000
20070131,364000,1985000,276.90,281.42,279.87,0.0000280,0.0000000
